City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,71.58,77,73,20.0,MU,1695606273
1,adamstown,-25.066,-130.1015,68.9,76,100,27.49,PN,1695606262
2,jayapura,-2.5333,140.7,87.19,76,94,4.9,ID,1695606407
3,uturoa,-16.7333,-151.4333,74.23,74,100,24.94,PF,1695606286
4,albany,42.6001,-73.9662,57.85,85,100,2.82,US,1695606065
5,port elizabeth,-33.918,25.5701,64.69,96,75,19.57,ZA,1695606267
6,ishqoshim,36.7248,71.6133,43.36,76,51,1.52,TJ,1695606407
7,port-aux-francais,-49.35,70.2167,34.79,60,10,23.76,TF,1695606266
8,grytviken,-54.2811,-36.5092,18.05,83,24,9.98,GS,1695606262
9,bodo,67.28,14.405,50.04,86,100,5.75,NO,1695606408
10,tiksi,71.6872,128.8694,36.09,97,100,9.93,RU,1695606268
11,alta,69.9689,23.2717,43.86,88,100,3.44,NO,1695606263
12,ushuaia,-54.8,-68.3,40.66,81,0,20.71,AR,1695606261
13,waitangi,-43.9535,-176.5597,53.82,88,100,7.0,NZ,1695606261
14,pisco,-13.7,-76.2167,67.01,88,100,14.97,PE,1695606270
15,avarua,-21.2078,-159.775,71.65,60,75,17.27,CK,1695606284
16,polovinnoye,54.7914,65.9864,53.35,91,10,7.58,RU,1695606408
17,nieuw amsterdam,5.8833,-55.0833,83.01,85,100,5.99,SR,1695606408
18,kolwezi,-10.7148,25.4667,65.91,47,12,1.32,CD,1695606408
19,rikaze,29.25,88.8833,53.42,49,68,1.74,CN,1695606309
20,talnakh,69.4865,88.3972,36.21,96,100,16.26,RU,1695606270
21,invercargill,-46.4,168.35,57.02,54,0,4.0,NZ,1695606263
22,vilyuchinsk,52.9306,158.4028,59.27,56,95,8.41,RU,1695606409
23,international falls,48.6011,-93.411,59.18,88,100,9.22,US,1695606409
24,iqaluit,63.7506,-68.5145,33.53,93,75,2.3,CA,1695606265
25,dubreka,9.7911,-13.5233,73.47,94,52,2.28,GN,1695606409
26,paita,-5.0892,-81.1144,69.35,81,6,12.01,PE,1695606129
27,broken hill,-31.95,141.4333,78.42,38,50,6.22,AU,1695606366
28,longyearbyen,78.2186,15.6401,19.2,91,90,1.36,SJ,1695606270
29,santyoku,37.4406,129.1708,69.82,71,99,2.66,KR,1695606410
30,atafu village,-8.5421,-172.5159,82.15,83,100,19.62,TK,1695606267
31,el calafate,-50.3408,-72.2768,36.41,76,4,8.79,AR,1695606410
32,college,64.8569,-147.8028,50.32,57,20,3.44,US,1695606265
33,jamestown,42.097,-79.2353,59.02,96,100,7.0,US,1695606171
34,st. john's,47.5649,-52.7093,53.67,94,100,6.91,CA,1695606279
35,puerto ayora,-0.7393,-90.3518,73.54,90,16,5.01,EC,1695606053
36,hereford,52.0568,-2.7148,61.34,93,4,4.0,GB,1695606410
37,najran,17.4924,44.1277,79.45,29,12,3.69,SA,1695606410
38,moree,-29.4667,149.85,75.85,34,4,7.31,AU,1695606410
39,batang,-6.4846,110.7083,88.16,49,5,0.58,ID,1695606411
40,olonkinbyen,70.9221,-8.7187,37.85,78,32,9.26,SJ,1695606273
41,edinburgh of the seven seas,-37.0676,-12.3116,59.13,92,100,31.25,SH,1695606275
42,miles city,46.4083,-105.8406,65.37,63,0,6.91,US,1695606411
43,nova sintra,14.8667,-24.7167,76.19,82,100,11.48,CV,1695606323
44,labrador city,52.9463,-66.9114,44.51,81,100,6.91,CA,1695606312
45,vershino-darasunskiy,52.35,115.5167,47.03,77,100,8.77,RU,1695606411
46,wailua homesteads,22.0669,-159.378,84.63,67,40,14.97,US,1695606267
47,broome,42.2506,-75.833,58.19,90,100,8.05,US,1695606270
48,ust-nera,64.5667,143.2,33.13,68,13,1.63,RU,1695606273
49,porto velho,-8.7619,-63.9039,87.85,62,0,4.61,BR,1695606411
50,tecax,20.2,-89.2833,73.67,91,72,3.58,MX,1695606411
51,carcassonne,43.25,2.1667,58.39,77,0,3.44,FR,1695606412
52,puerto natales,-51.7236,-72.4875,34.66,94,19,4.83,CL,1695606225
53,bilibino,68.0546,166.4372,32.85,68,100,2.66,RU,1695606277
54,arraial do cabo,-22.9661,-42.0278,71.11,87,76,15.79,BR,1695606045
55,west valley,46.5921,-120.6051,61.65,70,100,8.05,US,1695606412
56,plouzane,48.3833,-4.6167,62.65,97,40,8.05,FR,1695606412
57,gustavia,17.8962,-62.8498,85.12,81,100,8.99,BL,1695606412
58,yellowknife,62.456,-114.3525,48.72,94,100,17.27,CA,1695606135
59,papatowai,-46.5619,169.4708,54.05,47,0,9.91,NZ,1695606269
60,antsiranana,-12.2787,49.2917,71.92,77,5,16.93,MG,1695606412
61,kyaukse,21.6,96.1333,82.4,83,40,0.0,MM,1695606413
62,nova xavantina,-14.6667,-52.35,84.72,37,15,1.39,BR,1695606413
63,mulayjah,27.271,48.4242,87.3,18,0,8.25,SA,1695606413
64,punta arenas,-53.15,-70.9167,42.91,70,75,17.27,CL,1695606276
65,hotan,37.0997,79.9269,60.98,18,100,4.54,CN,1695606309
